Pressure {kPa} 	Boiling temperature {K} 	Uncertainty {K} 
82	161.45	0.32
90	163.01	0.31
100	164.82	0.31
110	166.50	0.31
120	168.06	0.31
130	169.52	0.30
140	170.90	0.31
150	172.20	0.31
160	173.44	0.31
170	174.63	0.31
180	175.76	0.31
190	176.84	0.31
200	177.88	0.32
210	178.89	0.32
220	179.86	0.32
230	180.79	0.33
240	181.70	0.33
250	182.57	0.33
260	183.42	0.34
270	184.25	0.34
280	185.05	0.34
290	185.84	0.35
300	186.60	0.35
310	187.34	0.35
320	188.07	0.36
330	188.78	0.36
340	189.47	0.36
350	190.15	0.37
360	190.82	0.37
370	191.47	0.37
380	192.11	0.38
390	192.73	0.38
400	193.35	0.38
410	193.95	0.39
420	194.54	0.39
430	195.12	0.39
440	195.69	0.40
450	196.26	0.40
460	196.81	0.40
470	197.35	0.41
480	197.89	0.41
490	198.42	0.41
500	198.94	0.41
510	199.45	0.42
520	199.95	0.42
530	200.45	0.42
540	200.94	0.43
550	201.43	0.43
560	201.91	0.43
570	202.38	0.43
580	202.84	0.44
590	203.30	0.44
600	203.76	0.44
610	204.21	0.44
620	204.65	0.45
630	205.09	0.45
640	205.52	0.45
650	205.95	0.45
660	206.37	0.46
670	206.79	0.46
680	207.21	0.46
690	207.62	0.46
700	208.02	0.47
710	208.42	0.47
720	208.82	0.47
730	209.22	0.47
740	209.61	0.47
750	209.99	0.48
760	210.37	0.48
770	210.75	0.48
780	211.13	0.48
790	211.50	0.48
800	211.87	0.49
810	212.23	0.49
820	212.59	0.49
830	212.95	0.49
840	213.31	0.49
850	213.66	0.50
860	214.01	0.50
870	214.35	0.50
880	214.70	0.50
890	215.04	0.50
900	215.37	0.51
910	215.71	0.51
920	216.04	0.51
930	216.37	0.51
940	216.70	0.51
950	217.02	0.51
960	217.35	0.52
970	217.67	0.52
980	217.98	0.52
990	218.30	0.52
1000	218.61	0.52
