Temperature {K} 	Pressure {kPa} 	Density {kg/m^3} 	Uncertainty {kg/m^3} 
162	0.7	0.06824740	9.1e-7
162	2	0.1950730	7.5e-6
162	4	0.390395	3.0e-5
162	6	0.585966	6.8e-5
162	8	0.78179	0.00012
162	10	0.97786	0.00019
162	12	1.17418	0.00027
162	14	1.37076	0.00037
162	16	1.56759	0.00049
162	18	1.76468	0.00062
162	20	1.96203	0.00076
162	22	2.15963	0.00093
162	24	2.3575	0.0011
162	26	2.5556	0.0013
162	28	2.7540	0.0015
162	30	2.9526	0.0017
162	32	3.1515	0.0020
162	34	3.3507	0.0022
162	36	3.5501	0.0025
162	38	3.7498	0.0028
162	40	3.9498	0.0031
162	42	4.1500	0.0035
162	44	4.3506	0.0038
162	46	4.5513	0.0042
162	48	4.7524	0.0045
162	50	4.9537	0.0049
162	52	5.1553	0.0054
162	54	5.3572	0.0058
162	56	5.5593	0.0062
162	58	5.7618	0.0067
162	60	5.9645	0.0072
162	62	6.1675	0.0077
162	64	6.3708	0.0082
162	66	6.5744	0.0088
162	68	6.7782	0.0093
162	70	6.9824	0.0099
162	72	7.187	0.010
162	74	7.392	0.011
162	76	7.597	0.012
162	78	7.802	0.012
162	80	8.007	0.013
162	82	8.213	0.014
162	84	8.420	0.014
164	0.7	0.06741460	8.6e-7
164	2	0.1926900	7.0e-6
164	4	0.385615	2.8e-5
164	6	0.578778	6.3e-5
164	8	0.77218	0.00011
164	10	0.96582	0.00018
164	12	1.15970	0.00025
164	14	1.35382	0.00035
164	16	1.54818	0.00046
164	18	1.74278	0.00058
164	20	1.93763	0.00071
164	22	2.13272	0.00087
164	24	2.3281	0.0010
164	26	2.5236	0.0012
164	28	2.7195	0.0014
164	30	2.9155	0.0016
164	32	3.1119	0.0019
164	34	3.3084	0.0021
164	36	3.5053	0.0024
164	38	3.7024	0.0026
164	40	3.8997	0.0029
164	42	4.0973	0.0032
164	44	4.2951	0.0036
164	46	4.4932	0.0039
164	48	4.6916	0.0042
164	50	4.8902	0.0046
164	52	5.0891	0.0050
164	54	5.2882	0.0054
164	56	5.4876	0.0058
164	58	5.6873	0.0063
164	60	5.8872	0.0067
164	62	6.0874	0.0072
164	64	6.2879	0.0077
164	66	6.4886	0.0082
164	68	6.6896	0.0087
164	70	6.8909	0.0092
164	72	7.0925	0.0098
164	74	7.294	0.010
164	76	7.496	0.011
164	78	7.699	0.012
164	80	7.901	0.012
164	82	8.104	0.013
164	84	8.308	0.014
164	86	8.511	0.014
164	88	8.715	0.015
164	90	8.919	0.016
164	92	9.123	0.016
164	94	9.328	0.017
166	0.7	0.06660180	8e-7
166	2	0.1903640	6.6e-6
166	4	0.380952	2.6e-5
166	6	0.571766	5.9e-5
166	8	0.76281	0.00011
166	10	0.95407	0.00017
166	12	1.14557	0.00024
166	14	1.33729	0.00033
