RN	Date	Config Number	Run Number	Configuration	type	Anode Voltage	Cathode Voltage	Laser Current	Laser Frequency	Media	Target Temp Channel	Target Temperature	Target Pressure	TC1(K)	TC2(K)	TC3(K)	Drift Length	Filepath (GDrive)	Filepath (ODrive)	Filepath (server)	window(us)	Notes
1	20240411	031	00001	SingleGrid_20mm	Test	200	1200	28	345		ch4	170	12.4	170.3	188.4	173.1	30				50	liquid test run
2	20240411	231	00002	SingleGrid_20mm	Noise	200	1200	28	345		ch4	170	12.4	170.3	188.4	173.1	30				50	liquid test run
3	20240411	031	00003	SingleGrid_20mm	Test	200	1200	28	456		ch4	170	12.4	170.3	188.7	173.1	30				50	liquid test run
4	20240411	231	00004	SingleGrid_20mm	Noise	200	1200	28	456		ch4	170	12.4	170.3	188.7	173.1	30				50	liquid test run
5	20240411	131	00005	SingleGrid_20mm	Production	200	1000	30	456		ch4	170	12.4	170.3	188.7	173.1	30				50	liquid test run - laser power/cathode amp measurement
6	20240411	131	00006	SingleGrid_20mm	Production	200	1000	29.5	456		ch4	170	12.4	170.3	188.7	173.1	30				50	liquid test run - laser power/cathode amp measurement
7	20240411	131	00007	SingleGrid_20mm	Production	200	1000	29	456		ch4	170	12.4	170.3	188.7	173.1	30				50	liquid test run - laser power/cathode amp measurement
8	20240411	131	00008	SingleGrid_20mm	Production	200	1000	28.5	456		ch4	170	12.4	170.3	188.7	173.1	30				50	liquid test run - laser power/cathode amp measurement
9	20240411	131	00009	SingleGrid_20mm	Production	200	1000	28	456		ch4	170	12.4	170.3	188.7	173.1	30				50	liquid test run - laser power/cathode amp measurement
10	20240411	131	00010	SingleGrid_20mm	Production	200	1000	27.5	456		ch4	170	12.4	170.3	188.7	173.1	30				50	liquid test run - laser power/cathode amp measurement
11	20240411	131	00011	SingleGrid_20mm	Production	200	1000	27	456		ch4	170	12.4	170.3	188.7	173.1	30				50	liquid test run - laser power/cathode amp measurement
12	20240411	231	00012	SingleGrid_20mm	Noise	200	1000	27	456		ch4	170	12.4	170.3	188.7	173.1	30				50	liquid noise 50us
13	20240411	231	00013	SingleGrid_20mm	Noise	200	1000	27	456		ch4	170	12.4	170.3	188.7	173.1	30				500	liquid noise 500us
14	20240411	231	00014	SingleGrid_20mm	Noise	200	1000	27	456		ch4	170	12.4	170.3	188.7	173.1	30				2000	liquid noise 2000us
15	20240411	231	00015	SingleGrid_20mm	Noise	200	1000	27	456		ch4	170	12.4	170.3	188.7	173.1	30				20000	liquid noise 20000us
16	20240425	031	00016	SingleGrid_20mm	Test	0	0	23	1		0	0	0	0	0	0	30				2	Pulse length test
17	20240425	031	00017	SingleGrid_20mm	Test	0	0	23	100		0	0	0	0	0	0	30				2	Pulse length test
